UnitCode	Description	ZipCode	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77701	0	0	1	0	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77802	0	0	0	0	0	0	0	1	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77845	0	0	0	0	0	0	0	0	1	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77901	0	1	0	0	0	0	1	2	0	0	2	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77904	1	0	0	1	0	0	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	77954	0	0	0	0	0	1	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78003	0	0	0	0	1	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78006	0	0	0	1	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78028	0	0	0	0	1	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78041	0	0	0	0	0	0	0	0	0	1	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78238	0	0	0	0	0	1	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78251	2	0	2	3	1	1	2	1	0	0	1	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78258	1	0	4	1	1	2	1	1	1	2	2	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78332	0	0	0	1	0	0	1	0	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78404	0	1	1	0	0	0	1	1	0	0	2	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78410	1	0	0	0	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78411	0	0	0	1	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78414	0	0	0	0	0	0	0	0	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78503	3	2	2	2	1	0	1	6	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78521	0	0	1	0	0	0	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78526	0	0	0	0	0	0	0	0	0	0	1	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78550	0	0	0	0	1	1	1	1	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78572	0	1	0	0	0	2	0	1	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78602	0	0	1	0	0	0	1	0	0	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78626	0	0	0	0	0	0	0	1	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78634	0	0	0	0	0	0	0	1	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78640	0	0	0	0	0	1	1	0	1	0	0	2
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78644	0	0	0	0	1	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78660	0	0	0	0	0	1	0	1	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78665	1	0	0	0	0	2	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78666	0	0	0	1	0	0	0	0	2	0	1	2
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78681	0	0	1	2	1	0	1	0	1	1	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78705	0	0	0	3	0	2	0	0	2	1	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78726	0	0	0	1	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78731	1	2	0	0	2	0	1	2	1	1	1	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78735	0	0	0	0	0	0	0	0	0	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78745	1	3	3	3	2	2	1	0	3	2	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78746	0	0	0	0	0	0	0	0	0	0	1	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78750	0	0	0	0	1	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78751	1	0	0	0	0	0	0	0	0	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78758	0	1	1	1	0	1	1	0	1	1	1	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78759	0	0	1	1	0	0	0	0	0	1	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78765	0	1	1	2	1	0	0	1	2	0	2	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	78942	0	0	0	0	0	0	0	0	0	1	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79325	0	0	0	0	0	0	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79416	0	0	0	0	0	1	0	0	1	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79703	0	0	0	0	0	0	0	0	0	0	0	1
